inventory_id,product_id,quantity_available,reorder_level,last_updated
1,1,75,37,2025-02-24 19:08:48.375515
2,2,189,28,2025-01-22 15:20:09.826994
3,3,225,28,2025-01-14 20:29:12.731868
4,4,199,34,2025-02-16 04:29:02.334493
5,5,158,31,2025-04-20 13:37:15.936112
6,6,51,25,2025-05-11 01:35:48.980769
7,7,100,38,2025-04-04 00:56:55.306261
8,8,150,29,2025-01-23 10:47:37.453076
9,9,118,35,2025-01-10 08:05:24.957289
10,10,175,22,2025-02-05 18:49:44.927242
11,11,5,33,2025-04-23 01:07:25.059754
12,12,25,33,2025-01-24 17:59:34.866521
13,13,55,45,2025-03-31 17:00:21.624530
14,14,206,38,2025-02-23 07:35:54.968187
15,15,215,44,2025-02-17 00:54:04.305241
16,16,1,36,2025-03-04 08:51:34.039554
17,17,149,30,2025-03-07 13:31:00.536091
18,18,80,38,2025-03-06 10:53:24.428127
19,19,126,38,2025-04-26 18:18:49.827163
20,20,113,39,2025-01-03 00:27:06.997524
21,21,70,31,2025-05-08 03:20:40.278750
22,22,289,41,2025-04-22 00:17:12.802465
23,23,146,36,2025-01-13 10:44:43.030435
24,24,79,25,2025-01-06 21:56:24.849298
25,25,124,41,2025-01-17 11:59:04.023651
26,26,190,41,2025-03-31 06:41:57.453519
27,27,73,30,2025-02-27 01:26:14.742712
28,28,20,43,2025-03-19 14:12:27.985214
29,29,254,25,2025-01-14 01:56:25.714978
30,30,70,48,2025-01-23 08:38:15.706368
31,31,176,39,2025-05-15 03:42:23.913283
32,32,189,34,2025-03-05 23:41:55.413062
33,33,26,29,2025-03-24 19:21:45.209255
34,34,294,42,2025-02-17 04:02:05.520380
35,35,51,40,2025-03-28 22:18:01.128891
36,36,115,38,2025-04-02 16:28:01.119840
37,37,226,43,2025-01-31 03:38:57.968347
38,38,284,20,2025-02-08 23:00:29.907145
39,39,144,42,2025-03-20 10:26:37.679292
40,40,297,24,2025-02-28 16:10:13.873820
41,41,293,35,2025-03-09 04:11:23.936934
