order_id,customer_id,order_status_id,ship_address_id,shipper_id,order_date,total_amount
1,179,4,640,436,2024-01-03 17:38:19.840194,4279.08
2,810,1,2964,241,2020-03-02 09:57:38.041511,2295.09
3,1863,2,922,307,2022-08-04 12:22:05.727470,3730.05
4,2064,3,2670,118,2022-07-15 00:18:40.544973,1146.78
5,2180,3,2093,46,2022-07-24 05:14:13.370067,147.7
6,2163,1,1604,24,2021-03-18 18:42:36.475582,3600.2699999999995
7,4126,3,2652,366,2023-05-19 17:32:55.639927,1693.46
8,1150,2,2595,338,2021-02-15 23:01:54.015268,9905.88
9,3714,1,1553,478,2022-01-11 02:35:54.757593,4540.3099999999995
10,330,4,730,84,2020-06-17 21:30:52.602402,11052.949999999999
11,4059,4,2588,202,2023-07-16 01:07:02.261941,475.36
12,1644,3,2915,124,2024-02-21 10:56:52.732660,1074.42
13,3435,4,1508,251,2022-12-10 10:27:23.073990,3399.92
14,2441,4,305,80,2022-10-22 08:07:29.231045,5078.18
15,3166,4,497,169,2023-02-03 14:04:11.278424,2050.05
16,3380,1,1041,9,2020-10-06 00:56:54.354996,1374.69
17,454,4,1959,239,2020-12-15 13:39:35.015782,6881.42
18,849,4,2175,351,2020-09-04 23:46:18.540470,800.18
19,1035,4,1926,473,2023-10-15 16:53:26.920590,3874.98
20,2306,2,2285,202,2022-04-11 12:11:40.592767,1220.34
21,577,2,1792,65,2023-05-28 08:50:18.572871,2044.56
22,1938,4,1661,413,2023-01-08 21:02:27.055208,2002.7999999999997
23,1936,1,751,253,2022-01-25 16:10:51.111398,4548.46
24,1690,4,1550,130,2023-02-28 09:52:27.326954,2600.59
25,1892,4,2879,470,2022-06-17 14:11:11.510927,1203.4
26,2072,2,1066,222,2022-07-20 11:45:02.556123,1489.8
27,4,1,2070,348,2024-11-29 08:32:50.187459,429.44
28,1042,1,433,148,2024-05-06 12:42:34.094587,658.0
29,318,1,871,44,2022-12-23 13:22:41.434359,5465.1
30,4757,3,1782,12,2025-02-28 12:09:06.849610,4788.34
31,2473,4,1442,470,2024-04-10 08:01:16.795352,1648.1
32,3415,2,624,469,2022-01-21 16:03:37.131284,2357.5
33,3736,3,1532,65,2021-12-16 21:19:37.914548,4601.3099999999995
34,2531,2,1811,58,2022-07-14 17:04:20.076770,2102.79
35,488,3,346,477,2020-05-01 02:57:19.744087,1777.37
36,4586,2,2484,188,2023-09-06 16:20:53.762759,2949.8199999999997
37,125,3,1552,14,2020-06-28 12:24:09.220847,2247.46
38,1632,4,933,79,2021-11-08 22:57:58.247637,310.8
39,3002,1,2916,280,2021-05-23 23:11:57.947067,696.36
40,953,1,507,46,2020-04-28 05:53:22.631358,1175.9
41,3705,4,1396,108,2022-01-08 16:35:53.084083,2405.58
42,488,2,1403,428,2021-04-30 08:29:14.227741,5210.72
43,1438,1,2913,145,2020-06-25 06:56:09.318131,2053.32
44,2370,3,909,225,2023-10-06 03:41:07.650024,3920.3999999999996
45,1882,3,2351,46,2021-08-07 17:49:07.554809,890.6300000000001
46,2801,4,2419,168,2023-03-05 18:32:45.144332,7570.4400000000005
47,1000,2,563,123,2022-04-07 21:47:14.612659,2845.29
48,3609,3,173,310,2020-12-06 12:59:39.347911,1468.71
49,3185,3,2306,319,2023-04-25 12:50:27.863961,323.99
50,726,2,2927,149,2022-12-08 15:42:29.684055,2014.4499999999998
51,2258,4,809,258,2020-10-14 17:11:04.463423,6146.5
52,3127,1,1302,78,2024-01-19 11:42:24.258922,1483.14
53,1283,1,2520,372,2024-03-25 15:04:35.519910,3419.5
54,1079,4,1498,38,2020-07-14 18:49:12.270240,5379.070000000001
55,358,2,79,98,2024-05-14 03:40:22.625478,1671.78
56,1355,1,1873,193,2022-01-12 18:52:55.153899,5281.139999999999
57,392,3,2047,450,2024-04-20 06:36:26.664398,5016.889999999999
58,1940,1,1023,394,2024-02-12 06:17:56.139564,2990.5899999999997
59,437,4,2456,405,2021-01-05 03:44:51.056944,857.36
60,3239,4,2621,32,2022-07-14 05:56:17.440349,3455.9
61,2671,3,1740,242,2021-09-25 19:56:52.543401,2109.2799999999997
62,821,2,2149,494,2022-06-24 23:16:14.771176,1198.07
63,1179,3,1854,437,2020-05-21 06:48:23.384930,3227.0899999999997
64,4208,3,2486,460,2020-08-29 22:31:35.774406,9.33
65,4301,4,2161,450,2021-10-31 13:55:05.099321,3855.51
66,2665,2,2973,444,2021-07-05 15:38:30.684153,7327.540000000001
67,4535,3,1978,54,2023-04-16 20:54:29.449346,3452.54
68,434,2,414,147,2024-12-02 23:06:55.308129,3876.4800000000005
69,2807,3,894,278,2024-07-29 12:33:08.488427,1578.4
70,2425,3,2530,96,2024-02-01 04:04:31.336818,3843.3500000000004
71,2950,4,2915,431,2020-10-19 22:35:13.155817,6527.959999999999
72,2431,2,10,268,2020-06-16 03:09:47.450736,2234.9700000000003
73,4292,2,917,337,2022-11-12 04:16:03.368024,3288.25
74,3364,2,262,205,2021-07-26 14:17:26.456316,1704.81
75,3586,2,1667,141,2023-07-26 08:27:12.957600,1641.3999999999999
76,1755,2,2720,16,2023-03-30 10:30:30.516865,138.53
77,3452,3,449,168,2020-08-21 08:22:41.112159,2909.25
78,1163,3,627,160,2024-07-18 21:43:06.411563,4636.6
79,441,4,333,302,2025-04-07 08:07:02.496347,3353.6400000000003
80,493,1,138,406,2022-12-04 12:49:36.373784,3115.86
81,2561,2,1423,57,2023-10-14 05:46:02.829259,5508.969999999999
82,2346,4,1636,137,2023-12-20 10:43:06.466815,951.06
83,2554,4,2759,485,2024-06-01 00:53:31.439845,3540.16
84,2390,3,2895,245,2022-09-12 09:45:51.936575,2018.9299999999998
85,2386,4,2447,25,2021-08-07 21:21:35.838457,7212.23
86,3971,2,2834,423,2023-01-03 08:59:09.033556,9279.66
87,4382,2,863,154,2023-06-15 15:41:41.776214,4174.52
88,1175,2,2589,292,2023-07-03 18:43:41.559086,4066.7400000000002
89,3482,3,235,70,2023-04-10 15:37:51.980155,2917.39
90,2015,1,643,267,2024-12-18 01:53:56.759233,899.4
91,2548,1,1212,361,2025-03-02 20:00:30.823807,4023.6800000000003
92,4532,3,2773,81,2023-10-15 09:02:55.091181,5215.08
93,395,2,690,181,2023-05-21 19:01:05.502600,862.05
94,4675,4,1610,205,2025-01-03 01:30:22.308617,515.2
95,1043,4,2079,333,2021-05-05 15:35:27.977273,2459.49
96,3426,1,2880,184,2023-05-30 15:16:40.107509,389.03
97,885,4,2598,215,2024-03-09 16:51:54.197693,7206.179999999999
98,834,3,658,230,2024-08-15 08:06:17.420730,2150.91
99,87,1,2782,160,2021-10-26 12:21:46.943595,5557.18
100,2961,1,2856,302,2024-03-09 21:12:11.703049,6120.08
101,287,1,2757,289,2023-07-22 04:37:13.427083,2560.39
102,1146,3,688,337,2021-03-17 20:31:05.811085,923.1600000000001
103,1035,1,1996,326,2021-03-11 21:19:33.927293,107.0
104,294,3,2508,139,2023-07-20 16:08:42.980620,6518.17
105,937,2,1795,133,2021-02-10 15:46:51.188168,6987.66
106,1528,2,520,127,2021-11-27 03:12:39.799698,4244.24
107,2473,2,2841,95,2021-08-17 16:00:42.914670,5123.25
108,4494,1,824,73,2024-06-30 15:44:30.489249,2877.35
109,1711,1,2801,138,2020-12-24 22:17:08.093519,650.96
110,2663,1,569,359,2025-01-27 11:44:03.563076,50.04
111,322,1,2039,461,2023-11-03 22:24:25.402303,2114.77
112,2708,1,1379,62,2023-05-10 07:18:21.739742,4347.41
113,3471,4,406,188,2022-12-07 20:49:27.682374,4642.02
114,1327,2,2071,497,2021-10-18 20:24:20.015220,4266.55
115,3810,3,2186,195,2021-11-20 18:27:42.974147,801.5
116,3083,2,2437,148,2023-03-11 10:04:44.128249,3888.05
117,1188,2,1097,458,2022-04-01 22:31:36.622730,1945.8000000000002
118,1357,2,2714,50,2020-09-09 16:54:05.603296,1081.88
119,683,2,866,259,2020-05-25 21:17:07.104288,2295.48
120,2401,4,2482,135,2021-08-06 08:25:58.021544,6061.67
121,3798,4,593,127,2022-01-11 14:40:53.565282,4128.5199999999995
122,3508,1,588,344,2023-02-28 22:26:23.656055,1449.73
123,3206,1,951,101,2021-05-26 23:58:06.066906,6992.25
124,2890,1,267,481,2022-09-24 01:55:08.552414,285.43
125,637,3,2319,339,2025-04-16 17:04:41.550290,3336.92
126,2517,4,1050,400,2024-01-01 01:27:35.812504,2676.66
127,4368,2,981,255,2022-07-09 19:17:15.179999,4652.12
128,3705,4,613,34,2020-01-05 15:07:52.034854,604.08
129,3236,3,949,81,2023-10-04 21:18:35.656885,1794.81
130,3204,3,2266,94,2022-02-06 16:47:31.341466,1874.51
131,3936,4,1802,338,2020-02-14 05:01:14.817388,1761.68
132,4161,4,503,370,2020-02-01 15:03:28.765468,380.78
133,666,4,224,106,2023-12-13 07:02:50.747870,2329.86
134,2571,1,1414,480,2024-03-19 09:27:21.852341,4308.7699999999995
135,2779,3,141,220,2020-04-08 00:09:18.008441,3896.7799999999997
136,3530,4,2417,161,2022-05-18 20:16:04.909732,2983.95
137,2943,2,1355,174,2024-12-24 04:11:26.541355,10473.23
138,3165,1,998,484,2024-03-13 07:50:05.403457,5230.360000000001
139,3972,1,451,1,2022-08-10 09:51:02.388067,361.59999999999997
140,3389,1,593,372,2024-06-02 13:15:54.188290,7161.0
141,1986,3,1249,440,2022-04-17 21:02:51.878098,377.26
142,2677,3,1049,336,2024-08-14 11:33:37.095629,1857.64
143,4115,2,401,168,2020-09-22 04:50:41.043580,3133.34
144,2032,4,118,451,2020-12-21 02:02:15.250941,603.45
145,3609,2,1944,336,2022-05-17 06:45:01.311471,2611.1800000000003
146,2362,3,1975,173,2025-02-20 07:59:19.438375,398.92
147,1569,1,1303,483,2020-02-26 23:44:49.324380,2403.33
148,2072,1,2853,438,2023-04-09 23:53:07.539555,7950.360000000001
149,3513,3,2640,197,2020-07-22 17:49:34.288359,5951.47
150,3948,3,2535,45,2024-12-02 01:38:25.255200,1639.42
151,3390,3,627,371,2025-05-06 19:31:02.364977,4801.08
152,2353,3,923,476,2021-10-11 23:48:20.068623,5683.24
153,1196,1,2375,109,2024-05-03 22:50:09.338791,4614.76
154,4329,4,1527,11,2021-06-27 03:07:01.615048,1447.37
155,3079,2,608,245,2023-02-12 05:33:39.724464,4970.75
156,3126,4,408,195,2024-07-12 23:28:52.481990,5317.38
157,3415,2,2377,324,2022-02-03 06:26:31.556538,319.0
158,3009,1,237,338,2022-07-26 16:58:45.326515,3801.6
159,207,3,1076,471,2022-02-08 20:18:34.321987,6090.030000000001
160,292,4,1978,81,2021-02-18 06:33:52.567043,63.22
161,4146,1,444,370,2020-08-14 05:02:01.818479,6336.93
162,862,3,652,420,2022-02-02 21:30:57.292079,3454.51
163,1515,1,2565,199,2021-01-03 16:47:38.504533,3943.88
164,1017,4,2984,295,2022-04-11 14:33:02.191039,2020.98
165,2107,3,1915,128,2020-04-21 13:44:15.777834,7520.139999999999
166,1154,2,1508,345,2024-05-14 23:19:32.792909,2557.3999999999996
167,3897,3,2652,207,2022-09-03 09:44:24.665451,1659.91
168,4034,2,1292,197,2020-02-01 18:19:18.895251,909.06
169,30,2,1403,188,2021-02-27 17:21:59.045975,889.4399999999999
170,1507,4,1808,476,2024-04-14 09:19:49.521933,7965.03
171,4999,2,1489,225,2022-08-05 09:38:52.834624,4425.0599999999995
172,3628,2,2882,90,2021-07-21 14:50:48.104713,1313.2
173,2994,3,227,416,2021-03-15 11:13:33.417329,1778.79
174,2327,1,975,494,2020-05-01 08:37:22.540049,3155.3300000000004
175,1991,3,2784,499,2023-08-07 23:16:54.898346,883.1899999999999
176,3527,3,2539,59,2020-10-24 17:51:07.708670,3149.58
177,157,1,560,273,2023-07-14 07:08:21.704498,1414.29
178,2080,2,2408,216,2022-04-15 06:43:26.871212,2706.38
179,640,1,1345,453,2024-01-30 09:43:55.644086,4628.75
180,3017,2,1947,330,2021-05-23 04:57:13.497034,1382.01
181,390,4,1831,287,2024-12-26 01:03:54.450300,767.38
