product_id,category_id
1,40
1,63
2,139
2,142
3,173
3,150
4,99
4,49
5,111
5,119
6,153
6,117
7,177
7,114
8,71
8,175
9,67
9,168
10,39
10,12
11,187
11,3
12,170
12,41
13,53
13,110
14,175
14,47
15,81
15,175
16,170
16,109
17,62
17,74
18,118
18,138
19,138
19,6
20,23
20,8
21,40
21,59
22,61
22,6
23,121
23,172
24,46
24,82
25,139
25,143
26,8
26,76
27,154
27,127
28,111
28,1
29,154
29,93
30,103
30,17
31,81
31,28
32,59
32,81
33,25
33,135
34,23
34,148
35,93
35,85
36,150
36,146
37,132
37,34
38,167
38,18
39,99
39,117
40,162
40,48
41,88
41,97
42,110
42,28
43,159
43,148
44,91
44,35
45,119
45,186
46,70
46,82
47,22
47,19
48,119
48,82
49,114
49,109
50,76
50,13
51,77
51,142
52,168
52,105
53,64
53,93
54,2
54,169
55,130
55,174
56,21
56,102
57,144
57,178
58,13
58,65
59,177
59,61
60,92
60,171
61,171
61,16
62,175
62,99
63,7
63,15
64,135
64,19
65,57
65,63
66,4
66,107
67,101
67,4
68,115
68,177
69,80
69,113
70,150
70,173
71,71
71,18
72,178
72,165
73,100
73,50
74,17
74,135
75,10
75,164
76,4
76,174
77,70
77,101
78,174
78,74
79,5
79,165
80,117
80,80
81,40
81,54
82,85
82,146
83,131
83,45
84,82
84,31
85,154
85,170
86,161
86,152
87,171
87,148
88,71
88,5
89,2
89,65
90,32
90,97
91,79
91,168
92,68
92,43
93,151
93,189
94,115
94,46
95,10
95,148
96,88
96,129
97,156
97,77
98,189
98,110
99,65
99,15
100,173
100,31
101,145
101,96
102,185
102,168
103,179
103,132
104,13
104,103
105,31
105,37
106,154
106,3
107,26
107,173
108,122
108,129
109,179
109,15
110,165
110,139
111,139
111,162
112,120
112,153
113,172
113,48
114,25
114,20
115,63
115,98
116,69
116,167
117,89
117,133
118,54
118,181
119,130
119,72
120,84
120,134
121,125
121,185
122,162
122,81
123,4
123,188
124,140
124,175
125,127
125,51
126,3
126,29
127,117
127,34
128,154
128,115
129,47
129,23
130,109
130,68
131,24
131,102
132,76
132,123
133,15
133,17
134,189
134,32
135,104
135,173
136,16
136,10
137,168
137,185
138,109
138,87
139,21
139,40
140,6
140,43
141,57
141,166
142,42
142,13
143,95
143,58
144,118
144,159
145,121
145,108
146,161
146,118
147,112
147,182
148,28
148,4
149,3
149,70
150,119
150,56
151,91
151,172
152,55
152,117
153,99
153,82
154,167
154,146
155,21
155,97
156,130
156,69
157,120
157,115
158,68
158,151
159,64
159,82
160,15
160,91
161,28
161,163
162,59
162,164
163,71
163,131
164,157
164,87
165,76
165,104
166,39
166,106
167,158
167,134
168,5
168,57
169,105
169,21
170,77
170,107
171,145
171,79
172,114
172,60
173,187
173,64
174,54
174,75
175,107
175,36
176,124
176,40
177,75
177,26
178,168
178,97
179,161
179,106
180,91
180,49
181,110
181,89
182,19
182,154
183,58
183,176
184,169
184,87
185,175
185,1
186,57
186,161
187,159
187,19
188,178
188,46
189,161
189,156
190,60
190,179
191,153
191,148
192,122
192,129
193,173
193,182
194,3
194,187
195,90
195,41
196,134
196,63
197,69
197,65
198,172
198,189
199,74
199,46
200,64
200,94
201,26
201,52
202,52
202,58
203,38
203,85
204,28
204,66
205,1
205,157
206,55
206,24
207,11
207,181
208,104
208,160
209,121
209,172
210,183
210,36
211,42
211,77
212,145
212,148
213,117
213,67
214,37
215,123
215,122
216,33
216,72
217,135
217,14
218,12
219,175
219,143
220,172
220,4
221,188
221,92
222,188
222,145
223,168
223,29
224,177
224,148
225,176
225,105
226,146
226,13
227,170
227,151
228,84
228,19
229,103
229,102
230,172
230,138
231,2
231,92
232,98
232,167
233,184
233,95
234,100
234,182
235,95
235,65
236,135
236,96
237,105
237,146
238,106
238,44
239,144
239,30
240,66
240,35
241,84
241,103
242,7
242,152
243,184
243,185
244,22
244,76
245,44
245,28
246,116
246,30
247,83
247,61
248,88
248,44
249,78
249,186
250,7
250,166
251,7
251,82
252,10
252,28
253,87
253,66
254,79
254,132
255,53
255,155
256,134
256,15
257,182
257,51
258,98
258,130
259,10
259,21
260,6
260,182
261,19
261,25
262,32
262,121
263,83
263,50
264,20
264,18
265,134
265,155
266,54
266,42
267,6
267,171
268,8
268,181
269,36
269,150
270,128
270,97
271,113
271,71
272,15
272,18
273,111
273,135
274,95
274,64
275,172
275,181
276,188
276,125
277,94
277,93
278,88
278,148
279,175
279,43
280,44
280,21
281,150
281,22
282,160
282,50
283,119
283,96
284,131
284,49
285,67
285,100
286,6
286,188
287,109
287,45
288,186
288,161
289,185
289,49
290,150
290,17
291,162
291,85
292,11
292,73
293,29
293,85
294,103
294,91
295,115
295,100
296,129
296,64
297,36
297,114
298,186
298,169
299,142
299,160
300,33
300,170
301,157
301,121
302,129
302,36
303,94
303,133
304,21
304,116
305,132
305,2
306,171
306,64
307,175
307,60
308,73
308,30
309,185
309,18
310,93
310,155
311,131
311,104
312,165
312,115
313,99
313,80
314,180
314,117
315,146
315,54
316,89
316,133
317,80
317,143
318,149
318,128
319,56
319,165
320,154
320,129
321,162
321,105
322,49
322,101
323,72
323,135
324,99
324,129
325,33
325,21
326,54
326,124
327,126
327,162
328,68
328,162
329,26
329,108
330,13
330,57
331,37
331,150
332,123
332,10
333,28
333,124
334,92
334,96
335,83
335,69
336,110
336,108
337,47
337,119
338,128
338,108
339,23
339,189
340,165
340,167
341,44
341,108
342,156
342,64
343,83
343,92
344,23
344,31
345,27
345,108
346,107
346,20
347,184
347,44
348,110
348,85
349,71
349,186
350,32
350,81
351,149
351,112
352,68
352,12
353,182
353,159
354,174
354,32
355,11
355,101
356,95
356,118
357,100
357,130
