review_id,product_id,customer_id,rating,review_text,review_date
1,11955,4180,4,Watch career treat.,2025-01-15 13:59:06.645285
2,6918,4193,2,Suddenly month carry hotel week.,2025-02-24 02:34:36.657353
3,14175,2889,5,Station either hit material into.,2025-04-25 13:00:02.754816
4,12709,4868,4,Evidence specific give none around if.,2025-03-08 21:11:29.844769
5,669,2323,3,Evening whether common boy over evidence cell business.,2025-01-07 05:17:21.816123
6,5202,2853,4,Across soldier investment item.,2025-05-08 11:38:27.490602
7,14572,4436,3,Forward try government hand through piece beautiful.,2025-01-31 01:56:01.663915
8,11786,957,1,Year think trade listen traditional.,2025-04-27 20:32:54.329237
9,4507,448,5,Somebody act others society board grow.,2025-03-01 13:53:35.941682
10,16791,4365,1,Job ok around first.,2025-03-07 05:06:00.837336
11,13022,1300,5,Good include four foot.,2025-01-30 02:07:57.256453
12,14676,3832,4,Record vote lead.,2025-04-04 11:50:47.810952
13,18546,290,4,Try bit adult.,2025-02-05 05:47:12.531447
14,7931,999,4,Happy than look my executive population range.,2025-03-26 10:45:28.699734
15,11742,4046,5,According more whose training.,2025-02-16 22:19:11.257050
16,11557,3101,5,Condition fill bit politics design benefit.,2025-01-12 18:32:16.572107
17,1240,4737,5,Lot relationship information necessary.,2025-03-31 04:07:45.777270
18,12239,1384,5,Big listen boy culture.,2025-04-29 15:02:58.702412
19,10182,4226,2,Toward news white young.,2025-03-21 23:43:28.433082
20,13961,3768,5,Allow sister economy become young kitchen stay.,2025-03-21 01:34:30.889737
21,10891,3623,1,Energy weight thank when red maybe cut.,2025-02-06 04:42:51.254737
22,17488,4128,4,Star treat woman require for meet prove.,2025-02-02 11:53:45.934184
23,5794,4008,3,Watch stop probably attorney worry.,2025-01-27 05:46:15.991775
24,5184,132,2,Red rest agreement including decide win gas.,2025-01-20 05:58:48.155068
25,16600,1284,2,Ready education anyone sometimes.,2025-03-06 20:08:10.516768
26,11201,3210,4,Ten idea score father suffer.,2025-02-04 16:16:16.222382
27,19883,605,1,International song father remain really.,2025-01-04 01:16:12.221567
28,11664,1211,2,Situation major relate black young.,2025-02-07 18:34:18.107632
29,14122,66,4,Thought per crime realize entire analysis outside.,2025-02-10 10:33:56.314297
30,17536,1267,2,Mention stop admit environmental.,2025-01-01 19:35:26.147143
31,12902,4621,5,Fact agree nation government employee only.,2025-03-05 23:09:59.462010
32,13183,3096,5,Mind real white story politics trip never lot.,2025-02-20 10:54:31.025796
33,16688,4249,1,Thought exactly ten owner democratic author upon.,2025-04-16 12:23:07.265006
34,13354,4097,4,Case nice condition agree she present seek.,2025-01-05 17:38:49.578828
35,19370,943,5,New work south half form enough good.,2025-04-05 01:35:15.904912
36,7914,645,1,Person move discover past wind build.,2025-04-17 22:40:20.678743
37,13026,2891,4,Democrat economic skin generation economic bank such.,2025-01-30 04:25:32.575172
38,17952,4538,1,Friend draw skill fine machine none.,2025-04-08 13:45:53.174175
39,9977,4416,4,However difficult onto stand travel up allow.,2025-01-21 04:52:49.695596
40,10772,3637,1,Performance speak world.,2025-05-06 18:26:03.864318
41,16707,2817,5,Sport teacher allow feel service determine.,2025-02-14 08:02:06.089666
42,19566,2361,1,Sign minute office.,2025-01-16 14:43:41.465340
43,8022,3235,1,Somebody both try inside.,2025-01-06 07:16:21.622832
44,15611,2438,3,Conference our little create here goal for.,2025-04-02 03:29:27.050069
45,6779,4170,5,Choice strategy sometimes also interview well star.,2025-02-02 00:33:19.840714
46,6313,2477,3,Their high organization final pattern.,2025-03-23 18:46:08.992163
47,1560,93,2,Sound large structure resource develop Congress.,2025-01-16 16:51:03.968663
48,10170,3225,2,Yard can stage energy professor property friend.,2025-03-24 22:20:27.037421
49,18034,765,1,Debate gun way tough though maybe compare.,2025-05-12 17:11:29.400842
50,6448,468,4,According exist soldier city rather.,2025-01-10 22:42:29.639199
51,12385,3596,1,Product time high walk own brother article.,2025-03-18 23:22:19.857562
52,17427,3909,1,Senior history age special product line rise.,2025-04-27 22:14:42.332675
53,9954,3937,3,Break enter audience grow candidate almost.,2025-01-29 15:55:24.211182
54,18940,1920,2,Scene give smile suddenly generation ten current their.,2025-02-24 13:52:21.473011
55,13710,2196,1,None few picture check final all civil real.,2025-03-04 16:12:34.269396
56,9643,246,5,Step include ask trouble stock director dinner figure.,2025-01-18 09:31:45.295806
57,17403,4194,5,Word per much while much.,2025-03-26 19:02:11.154713
58,724,2806,3,Hand teacher tell might sound ball.,2025-04-28 18:41:49.440753
59,7496,1028,4,Support follow case painting occur election boy best.,2025-03-08 21:17:33.685930
60,1033,796,5,General open apply visit business.,2025-03-25 08:10:31.998704
61,1919,4772,5,Happen your professor try.,2025-01-09 04:05:39.124735
62,14080,4022,5,Nor instead conference.,2025-03-18 02:10:19.881249
63,15397,3685,2,Dinner choose between career light.,2025-01-10 03:06:13.787204
64,18148,2594,5,Hard sometimes test road room grow although.,2025-03-03 14:12:49.194750
65,6096,110,3,Treat threat represent support.,2025-03-08 12:18:03.024270
66,5457,3699,4,Walk still budget myself agree woman idea.,2025-03-14 17:19:29.307226
67,3126,3047,2,Major only like.,2025-01-13 09:51:33.756203
68,1152,3431,2,Fire cover growth.,2025-03-23 06:28:54.722509
69,14053,3410,1,Office upon later.,2025-03-31 19:00:19.235240
70,8072,262,4,Evening color on yet carry financial must.,2025-04-08 00:41:13.271188
71,17676,4993,4,Simple television contain full direction look.,2025-02-07 02:55:41.980335
72,17521,4705,4,Glass quickly professor writer return.,2025-05-10 10:23:54.035986
73,6534,3200,3,Responsibility song avoid than do.,2025-01-28 07:14:39.829640
74,12527,864,3,Phone case college whole.,2025-04-07 04:03:27.246651
75,16127,4790,1,Hospital daughter surface oil college laugh be.,2025-03-31 03:42:49.764375
76,3453,2242,3,Line strong number thus.,2025-04-24 21:17:26.968201
77,4984,3548,1,Ago affect experience tree green quality.,2025-02-23 03:30:24.731960
78,16927,2581,5,Prepare seek meeting size here.,2025-01-30 05:24:26.569422
79,5856,2118,4,Reveal call everything.,2025-02-01 18:53:37.229533
80,9900,803,5,Hard involve down good.,2025-03-18 20:55:29.082698
81,9001,4252,3,Card effort whether language number visit.,2025-01-24 03:26:23.651323
82,17105,4017,4,Open probably federal avoid international even level.,2025-02-14 12:44:34.804985
83,12218,3602,5,Drop name personal citizen health.,2025-05-03 01:21:24.899626
84,17817,319,4,Firm else story resource family direction.,2025-04-23 06:30:19.403070
85,19355,3408,3,Buy it quality rule foreign.,2025-02-10 16:48:39.618972
86,306,2858,5,She question financial trial grow lawyer fire total.,2025-02-26 06:15:25.014146
87,17274,4611,5,Dinner especially score present interview station authority.,2025-05-03 05:35:22.159454
88,19880,1371,4,Herself others sound simple cell.,2025-04-17 14:50:32.977779
89,14276,4453,4,Study bank camera member.,2025-02-02 11:03:23.787972
90,8252,2492,5,Choose toward century produce age information.,2025-03-05 23:16:20.264423
91,10607,4239,5,A teach under before.,2025-02-04 02:31:40.553960
92,16372,2135,4,Matter realize dark wide.,2025-05-15 14:16:08.761424
93,14539,3434,5,Control guess matter why show level.,2025-01-29 20:40:28.244167
94,8603,4029,5,Gas girl cup second economy.,2025-01-24 08:50:43.675010
95,8165,519,4,Consumer rest have simple option science.,2025-04-05 11:17:07.013183
96,752,2965,4,South history later recent point summer.,2025-05-14 07:38:08.598133
97,9420,424,4,Employee democratic man.,2025-04-18 13:04:40.229775
98,2815,3412,3,Father worker recognize do.,2025-01-27 03:12:24.693514
99,14065,4623,1,Take party same arrive.,2025-04-11 22:46:11.115142
100,10464,4010,5,Box friend conference hit.,2025-04-20 10:29:13.994781
101,11994,4957,1,Ago tough attack professional tell.,2025-03-12 23:10:01.660389
102,8968,1447,1,Ready animal nearly follow own deal.,2025-01-03 10:13:34.595498
103,2177,1285,4,Often join others standard PM short.,2025-03-31 14:09:24.183753
104,15581,3609,2,While year bad understand become he.,2025-03-01 22:21:08.971530
105,2230,2466,5,Magazine leg radio may several beyond assume admit.,2025-04-08 09:26:56.476189
106,9140,3237,4,Speak who on against party tend amount weight.,2025-03-08 15:56:54.850391
107,13064,2428,2,Community fire decide lot history important.,2025-04-28 23:19:36.524544
108,1879,4773,5,Rule with standard back lead government week.,2025-05-05 20:38:03.199419
109,9384,3800,4,Campaign understand make table upon shoulder no.,2025-04-12 08:35:15.344453
110,6926,3605,2,North time guy author see far memory kitchen.,2025-02-05 15:41:18.924012
111,3974,999,1,Opportunity medical feel common have stop occur.,2025-04-18 14:40:10.403594
112,14897,4264,5,Event fire upon let table physical.,2025-03-09 16:29:54.560454
113,5613,43,4,Marriage according during.,2025-04-11 23:17:27.409110
114,3617,1370,4,Throw student pressure home somebody.,2025-03-13 17:40:36.799368
115,10593,4626,4,Himself sea effect easy might six.,2025-01-30 21:40:21.748978
116,12445,2909,3,Close director against fish.,2025-01-27 08:24:16.928806
117,3042,4115,3,Send senior wife spring understand if game particularly.,2025-01-06 23:10:34.296625
118,12215,4404,4,Stock toward leg civil.,2025-01-20 20:32:16.724802
119,17623,3885,5,Full over manager.,2025-03-22 15:14:34.919700
120,10434,3446,2,Natural free manage.,2025-02-28 18:32:50.212647
121,18367,4547,5,Job effect network simple race just already.,2025-05-10 15:38:59.770117
122,3519,704,1,Indicate free subject real near.,2025-04-29 20:01:00.873425
123,12455,3066,5,Training yes building later behavior final position.,2025-02-07 23:21:14.122153
124,12134,1959,5,Present issue understand face hospital improve purpose.,2025-05-01 19:38:12.437386
125,10964,3818,5,Bed writer shake avoid piece lead in water.,2025-01-14 08:09:16.434538
126,19572,3395,5,Money tonight issue better week.,2025-04-08 02:08:21.623850
127,17550,2366,3,Man different speech fight compare carry.,2025-02-22 21:10:37.165227
128,6193,2325,5,Music production general discussion fill article.,2025-05-02 08:38:02.630764
129,7399,4343,2,Develop help beyond hair sport lay they.,2025-05-09 11:42:30.566216
130,11850,1338,2,Administration we example four person name far suggest.,2025-03-08 00:51:25.445963
131,2915,1963,3,Size surface fact give author front.,2025-05-15 10:01:51.393151
132,12756,1221,2,Born forget real bag she.,2025-02-10 23:22:13.756521
133,13200,4847,3,Fill arrive pretty against face.,2025-04-23 14:02:27.408114
134,6299,3675,2,These knowledge live race level my player.,2025-04-07 09:20:23.074378
135,17711,4507,1,Magazine note skin direction design new southern.,2025-01-29 01:42:11.372161
136,10654,2691,4,Ever half develop billion.,2025-04-07 13:51:12.766906
137,3851,3380,4,Idea piece decide air.,2025-02-10 23:02:37.263940
138,14643,4232,3,Now major data east.,2025-03-23 02:50:28.843587
139,9153,4293,2,Remember west charge summer.,2025-04-10 09:31:26.203448
140,16769,3895,2,Indeed medical card cover point.,2025-01-01 08:47:16.473037
141,13359,2487,2,Four myself watch sing school social watch.,2025-01-06 02:57:17.753161
142,19605,1862,5,Mission environmental win past spend fear.,2025-02-19 18:38:59.564054
143,18871,3683,1,Community Democrat serve crime yeah might.,2025-04-07 17:03:04.037148
144,2462,3618,2,Face color now project call.,2025-04-27 15:52:54.743848
145,1691,2700,5,Never nature hospital news floor.,2025-03-16 15:01:07.073947
146,13354,1286,1,Use product surface clear.,2025-02-28 04:07:00.246766
147,1765,3649,2,Sing wide argue girl create.,2025-04-16 00:21:59.825268
148,18594,3496,5,Executive less him together management debate sort.,2025-05-16 05:02:05.813962
149,18722,3161,3,Course north as measure exist cell.,2025-01-15 12:27:19.326287
150,4338,2322,3,Treat do drive floor worker region site.,2025-02-16 07:04:30.089256
151,1950,1757,1,Leader scientist bit.,2025-03-13 11:25:39.134459
152,7306,2935,1,People address production camera political loss western.,2025-04-08 10:30:01.936713
153,12390,1714,5,Station scientist describe reflect development with.,2025-05-02 13:30:49.462409
154,12649,1403,2,Accept my down along think consider decade family.,2025-04-16 19:22:16.701673
155,7582,4845,2,Point different radio enjoy strong must.,2025-05-07 03:45:45.449856
