payment_id,order_id,payment_method,payment_date,amount,status
11001,11001,Mastercard,2024-12-24,1344.41,Captured
11002,11002,Stripe,2024-08-06,1204.27,Captured
11003,11003,PayPal,2024-10-20,4464.490000000001,Captured
11004,11004,Mastercard,2024-10-09,4311.25,Captured
11005,11005,PayPal,2024-11-09,3433.99,Captured
11006,11006,PayPal,2024-05-19,3881.6299999999997,Captured
11007,11007,Mastercard,2024-09-26,5201.46,Captured
11008,11008,PayPal,2024-06-14,12907.019999999999,Captured
11009,11009,PayPal,2024-09-23,4773.61,Captured
11010,11010,Stripe,2025-01-30,1773.38,Captured
11011,11011,Visa,2024-06-14,5133.12,Captured
11012,11012,Visa,2025-01-07,4178.88,Captured
11013,11013,Stripe,2025-02-12,4382.4,Captured
11014,11014,Mastercard,2024-06-17,2728.08,Captured
11015,11015,Mastercard,2024-09-28,2403.5899999999997,Captured
11016,11016,Stripe,2024-05-20,1656.56,Captured
11017,11017,PayPal,2024-10-14,4172.08,Captured
11018,11018,Visa,2024-09-03,4880.63,Captured
11019,11019,PayPal,2025-04-06,5015.97,Captured
11020,11020,Mastercard,2024-05-23,13890.310000000001,Captured
11021,11021,Stripe,2024-05-20,6221.7,Captured
11022,11022,Visa,2024-07-08,32.8,Captured
11023,11023,PayPal,2025-04-09,3073.1600000000003,Captured
11024,11024,Mastercard,2025-04-29,5275.5199999999995,Captured
11025,11025,Mastercard,2024-05-21,4325.2,Captured
11026,11026,Stripe,2024-07-22,3029.6400000000003,Captured
11027,11027,Mastercard,2024-06-12,7689.17,Captured
11028,11028,PayPal,2024-07-20,8028.960000000001,Captured
11029,11029,Mastercard,2025-01-13,7281.98,Captured
11030,11030,Visa,2025-02-26,3261.21,Captured
11031,11031,Visa,2025-03-04,462.22,Captured
11032,11032,Visa,2025-04-15,4677.24,Captured
11033,11033,PayPal,2025-01-31,10883.590000000002,Captured
11034,11034,Visa,2024-10-12,2925.1400000000003,Captured
11035,11035,Mastercard,2024-10-04,7048.76,Captured
11036,11036,PayPal,2024-06-11,6140.25,Captured
11037,11037,Stripe,2024-08-13,2273.18,Captured
11038,11038,PayPal,2025-03-09,5363.64,Captured
11039,11039,Visa,2024-12-19,279.39,Captured
11040,11040,Stripe,2024-06-20,6968.4400000000005,Captured
11041,11041,Stripe,2024-07-01,2915.62,Captured
11042,11042,Visa,2025-02-20,2920.4300000000003,Captured
11043,11043,Visa,2024-12-06,2784.82,Captured
11044,11044,Mastercard,2025-03-29,3794.0299999999997,Captured
11045,11045,Stripe,2025-02-16,4507.23,Captured
11046,11046,Visa,2025-05-06,4972.4,Captured
11047,11047,Visa,2024-09-28,1812.12,Captured
11048,11048,Stripe,2025-01-16,4618.44,Captured
11049,11049,Stripe,2024-06-15,304.36,Captured
11050,11050,Stripe,2024-06-05,2255.11,Captured
11051,11051,PayPal,2024-11-03,4972.7300000000005,Captured
11052,11052,Stripe,2025-03-27,2560.04,Captured
11053,11053,Visa,2024-11-19,1646.49,Captured
11054,11054,PayPal,2024-06-16,6060.47,Captured
11055,11055,Stripe,2024-07-21,2213.7,Captured
11056,11056,Mastercard,2024-07-31,1729.94,Captured
11057,11057,Mastercard,2024-08-12,3745.6,Captured
11058,11058,Visa,2025-01-15,8252.84,Captured
11059,11059,Visa,2024-07-02,9975.49,Captured
11060,11060,Visa,2024-11-26,2057.58,Captured
11061,11061,Stripe,2025-01-13,369.76,Captured
11062,11062,PayPal,2025-02-12,3896.3100000000004,Captured
11063,11063,Mastercard,2024-11-01,2447.56,Captured
11064,11064,Visa,2024-09-09,4570.21,Captured
11065,11065,PayPal,2024-05-27,699.96,Captured
11066,11066,Visa,2024-10-22,1907.8300000000002,Captured
11067,11067,PayPal,2024-09-01,801.99,Captured
