shipper_id,name,phone,tracking_url_template
1,Watts Group,223.678.6576x9227,https://track.example/0/{}
2,Woods-Stewart,(535)463-3107x346,https://track.example/1/{}
3,"Mcconnell, Wells and Garcia",(653)852-8539x5397,https://track.example/2/{}
4,Brown Ltd,9745613944,https://track.example/3/{}
5,Ramsey PLC,483-771-0315x5815,https://track.example/4/{}
6,Gonzalez-Scott,(918)492-6555x31833,https://track.example/5/{}
7,"Ford, Price and Johnson",(905)435-6648,https://track.example/6/{}
8,"Davis, Fisher and Adams",577.353.5281,https://track.example/7/{}
9,"Herrera, Foster and Williams",(839)282-8183x1747,https://track.example/8/{}
10,"Jones, Williams and Mosley",394.344.8582x051,https://track.example/9/{}
11,Patel Ltd,9053011329,https://track.example/10/{}
12,"Wang, Bailey and Mueller",001-730-301-2229,https://track.example/11/{}
13,Peterson-Dunn,866-904-3695x26283,https://track.example/12/{}
14,"Clark, Brown and White",+1-410-365-8441x6948,https://track.example/13/{}
15,Patton Ltd,498.456.2603x529,https://track.example/14/{}
16,"Scott, Galvan and Lewis",396-261-0937,https://track.example/15/{}
17,Weeks Group,+1-978-213-7787x131,https://track.example/16/{}
18,"Ellis, Dixon and Barrett",(506)231-4638x998,https://track.example/17/{}
19,"Hernandez, Walters and Matthews",(516)219-0516x335,https://track.example/18/{}
20,Walker Inc,(239)512-0805,https://track.example/19/{}
21,Khan PLC,939-327-0221x724,https://track.example/20/{}
22,Gilbert-Jackson,857.270.2738,https://track.example/21/{}
23,"Miller, Hood and Kennedy",715-700-4896x85864,https://track.example/22/{}
24,Robinson-Williams,(296)270-8047,https://track.example/23/{}
25,"Kennedy, Smith and Hall",3015036527,https://track.example/24/{}
26,"Garcia, Goodwin and Simmons",415-585-3549x9071,https://track.example/25/{}
27,"Cabrera, Rowland and Woodward",001-690-999-1214x097,https://track.example/26/{}
28,Acosta-Mason,+1-604-997-7349,https://track.example/27/{}
29,"Forbes, Obrien and Brown",335.518.0631,https://track.example/28/{}
30,Hernandez-Myers,001-367-567-7215,https://track.example/29/{}
31,Lutz and Sons,469.475.2204x455,https://track.example/30/{}
32,Pham Ltd,614.509.6005,https://track.example/31/{}
